Country Name,Country Code,total_tax_rate,time_hours,payments_per_year,tax_rate_score,time_score,payments_score,complexity_score,complexity_band
"Venezuela, RB",VEN,73.3,920.0,99.0,30.860113421550096,60.70341562394319,100.0,63.5,High
Brazil,BRA,65.1,1501.0,9.61,26.984877126654062,100.0,6.885416666666667,50.2,High
Sao Paulo,BRA_SAO,64.7,1501.0,10.0,26.79584120982987,100.0,7.291666666666667,50.2,High
Rio de Janeiro,BRA_RIO,65.7,1501.0,9.0,27.26843100189036,100.0,6.25,50.1,High
Bolivia,BOL,83.7,1025.0,42.0,35.77504725897921,67.80520798106188,40.625,50.0,High
Chad,TCD,63.5,834.0,54.0,26.22873345935728,54.88670950287454,53.125,45.8,Medium
Comoros,COM,219.6,100.0,33.0,100.0,5.24179912073047,31.25,41.5,Medium
Central African Republic,CAF,73.3,483.0,56.0,30.860113421550096,31.14643219479202,55.208333333333336,38.3,Medium
"Congo, Rep.",COG,54.3,602.0,50.0,21.880907372400756,39.195130199526545,48.958333333333336,36.9,Medium
Gabon,GAB,47.1,632.0,50.0,18.47826086956522,41.22421373013189,48.958333333333336,36.7,Medium
Equatorial Guinea,GNQ,79.4,492.0,46.0,33.742911153119096,31.75515725397362,44.791666666666664,36.3,Medium
Cameroon,CMR,57.7,624.0,44.0,23.487712665406427,40.68312478863713,42.708333333333336,36.1,Medium
Libya,LBY,32.6,889.0,19.0,11.625708884688091,58.606695975651,16.666666666666668,31.9,Medium
Senegal,SEN,44.8,416.0,53.0,17.391304347826086,26.61481230977342,52.083333333333336,31.5,Medium
"Congo, Dem. Rep.",COD,50.7,346.0,52.0,20.179584120982987,21.880284071694284,51.041666666666664,30.1,Medium
São Tomé and Principe,STP,37.0,424.0,46.0,13.705103969754253,27.155901251268176,44.791666666666664,28.4,Medium
Benin,BEN,48.9,270.0,54.0,19.328922495274103,16.739939127494083,53.125,28.4,Medium
Guinea,GIN,69.3,400.0,33.0,28.96975425330813,25.532634426783904,31.25,28.3,Medium
"Gambia, The",GMB,48.4,326.0,49.0,19.09262759924386,20.52756171795739,47.916666666666664,28.3,Medium
Nepal,NPL,41.8,377.0,46.0,15.973534971644611,23.977003719986474,44.791666666666664,27.8,Medium
Tanzania,TZA,43.8,207.0,59.0,16.918714555765593,12.47886371322286,58.333333333333336,27.6,Medium
