Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Paying taxes: Time (hours per year),PAY.TAX.TM,Beijing,CHN_BEI,..,..,..,318,261,261,254,245,142,138
Paying taxes: Time (hours per year),PAY.TAX.TM,Chittagong,BGD_CHI,..,..,..,422,422,422,435,435,435,435
Paying taxes: Time (hours per year),PAY.TAX.TM,Delhi,IND_DEL,..,..,..,251,251,251,249,214,273.5,250
Paying taxes: Time (hours per year),PAY.TAX.TM,Dhaka,BGD_DHA,422,422,422,422,422,422,435,435,435,435
Paying taxes: Time (hours per year),PAY.TAX.TM,Jakarta,IDN_JAK,266,266,259,259,253,234,221,207.5,207.5,191
Paying taxes: Time (hours per year),PAY.TAX.TM,Kano,NGA_KAN,..,..,..,360.5,360.5,360.5,360.5,341.5,328.5,324.5
Paying taxes: Time (hours per year),PAY.TAX.TM,Karachi,PAK_KAR,307,307,307,307,307,307,311.5,311.5,293.5,283
Paying taxes: Time (hours per year),PAY.TAX.TM,Lagos,NGA_LAG,432,432,450,450,450,450,450,366,353,349
Paying taxes: Time (hours per year),PAY.TAX.TM,Lahore,PAK_LAH,..,..,..,307,307,307,311.5,311.5,293.5,283
Paying taxes: Time (hours per year),PAY.TAX.TM,Los Angeles,USA_LA,..,..,..,175,175,175,175,175,175,175
Paying taxes: Time (hours per year),PAY.TAX.TM,Mexico City,MEX_MEC,404,341,311.5,288.5,288.5,240.5,240.5,240.5,240.5,240.5
Paying taxes: Time (hours per year),PAY.TAX.TM,Monterrey,MEX_MON,..,..,..,288.5,288.5,240.5,240.5,240.5,240.5,240.5
Paying taxes: Time (hours per year),PAY.TAX.TM,Moscow,RUS_MOS,320,290,177,177,168,168,168,168,168,159
Paying taxes: Time (hours per year),PAY.TAX.TM,Mumbai,IND_MUM,270,266,255,255,255,255,253,218,277.5,254
Paying taxes: Time (hours per year),PAY.TAX.TM,New York,USA_NY,187,187,175,175,175,175,175,175,175,175
Paying taxes: Time (hours per year),PAY.TAX.TM,Osaka,JPN_OSA,..,..,..,198.5,198.5,181.5,128.5,128.5,128.5,128.5
Paying taxes: Time (hours per year),PAY.TAX.TM,Rio de Janeiro,BRA_RIO,..,..,..,2600,2600,2600,2038,1958,1958,1501
Paying taxes: Time (hours per year),PAY.TAX.TM,Sao Paulo,BRA_SAO,2600,2600,2600,2600,2600,2600,2038,1958,1958,1501
Paying taxes: Time (hours per year),PAY.TAX.TM,Shanghai,CHN_SHA,358,358,338,318,261,261,263,251,142,138
Paying taxes: Time (hours per year),PAY.TAX.TM,St. Petersburg,RUS_STP,..,..,..,177,168,168,168,168,168,159
Paying taxes: Time (hours per year),PAY.TAX.TM,Surabaya,IDN_SUR,..,..,..,259,253,234,221,207.5,207.5,191
Paying taxes: Time (hours per year),PAY.TAX.TM,Tokyo,JPN_TOK,223.5,198.5,198.5,198.5,198.5,181.5,128.5,128.5,128.5,128.5
Paying taxes: Time (hours per year),PAY.TAX.TM,Afghanistan,AFG,275,275,275,275,275,275,275,275,270,270
Paying taxes: Time (hours per year),PAY.TAX.TM,Albania,ALB,360,371,357,357,357,357,255,255,252,252
Paying taxes: Time (hours per year),PAY.TAX.TM,Algeria,DZA,451,451,451,451,385,385,265,265,265,265
Paying taxes: Time (hours per year),PAY.TAX.TM,Angola,AGO,294,294,294,294,294,294,287,287,287,287
Paying taxes: Time (hours per year),PAY.TAX.TM,Antigua and Barbuda,ATG,207,207,207,207,207,207,207,192,177,177
Paying taxes: Time (hours per year),PAY.TAX.TM,Argentina,ARG,453,415,405,405,405,405,359,311.5,311.5,311.5
Paying taxes: Time (hours per year),PAY.TAX.TM,Armenia,ARM,578,498,372,372,313,313,313,313,264,264
Paying taxes: Time (hours per year),PAY.TAX.TM,Australia,AUS,109,109,109,105,105,105,105,105,105,105
Paying taxes: Time (hours per year),PAY.TAX.TM,Austria,AUT,170,170,170,166,131,131,131,131,131,131
Paying taxes: Time (hours per year),PAY.TAX.TM,Azerbaijan,AZE,165,225,214,214,195,195,195,195,159,159
Paying taxes: Time (hours per year),PAY.TAX.TM,"Bahamas, The",BHS,58,58,58,58,58,58,233,233,197,155
Paying taxes: Time (hours per year),PAY.TAX.TM,Bahrain,BHR,27,27,27,27,27,27,27,28.5,28.5,22.5
Paying taxes: Time (hours per year),PAY.TAX.TM,Bangladesh,BGD,..,..,..,422,422,422,435,435,435,435
Paying taxes: Time (hours per year),PAY.TAX.TM,Barbados,BRB,..,245,237,237,237,237,237,245,245,241
Paying taxes: Time (hours per year),PAY.TAX.TM,Belarus,BLR,798,654,338,319,183,176,176,184,184,170
Paying taxes: Time (hours per year),PAY.TAX.TM,Belgium,BEL,131,131,131,135,135,136,136,136,136,136
Paying taxes: Time (hours per year),PAY.TAX.TM,Belize,BLZ,147,147,147,147,147,147,147,147,147,147
Paying taxes: Time (hours per year),PAY.TAX.TM,Benin,BEN,270,270,270,270,270,270,270,270,270,270
Paying taxes: Time (hours per year),PAY.TAX.TM,Bhutan,BTN,95,95,95,95,95,95,95,95,52,52
Paying taxes: Time (hours per year),PAY.TAX.TM,Bolivia,BOL,1080,1080,1025,1025,1025,1025,1025,1025,1025,1025
Paying taxes: Time (hours per year),PAY.TAX.TM,Bosnia and Herzegovina,BIH,422,422,407,407,407,420,411,411,411,411
Paying taxes: Time (hours per year),PAY.TAX.TM,Botswana,BWA,152,152,152,152,152,152,152,120,120,120
Paying taxes: Time (hours per year),PAY.TAX.TM,Brazil,BRA,..,..,..,2600,2600,2600,2038,1958,1958,1501
Paying taxes: Time (hours per year),PAY.TAX.TM,Brunei Darussalam,BRN,144,96,96,96,93,89,66.5,64.2,52.5,52.5
Paying taxes: Time (hours per year),PAY.TAX.TM,Bulgaria,BGR,598,482,436,436,436,453,453,453,453,441
Paying taxes: Time (hours per year),PAY.TAX.TM,Burkina Faso,BFA,270,270,270,270,270,270,270,270,270,270
Paying taxes: Time (hours per year),PAY.TAX.TM,Burundi,BDI,211,274,274,274,274,274,232,232,232,232
